date,link,titles,news_date,category
https://www.nytimes.com/issue/todayspaper/2019/06/03/todays-new-york-times,/2019/06/02/world/middleeast/us-iran-mike-pompeo.html,Trump Administration Says It Will Negotiate With Iran With ‘No Preconditions’,2019/06/03,world
https://www.nytimes.com/issue/todayspaper/2019/06/03/todays-new-york-times,/2019/06/02/world/europe/pope-francis-romania.html,Pope Francis Apologizes to Roma for Mistreatment and Urges European Unity,2019/06/03,world
https://www.nytimes.com/issue/todayspaper/2019/06/03/todays-new-york-times,/2019/06/02/us/politics/dccc-blacklist-incumbent-policy.html,"Insurgent Democrats, Many of Them Women, Worry a New Party Policy Will Block Them",2019/06/03,us
https://www.nytimes.com/issue/todayspaper/2019/06/03/todays-new-york-times,/2019/06/02/us/politics/tm-landry-fbi-college-admissions.html,F.B.I. Is Said to Be Investigating College Admissions Practices at T.M. Landry,2019/06/03,us
https://www.nytimes.com/issue/todayspaper/2019/06/03/todays-new-york-times,/2019/06/02/us/politics/democrats-impeachment-mueller.html,"Democrats Are Determined to Spotlight Trump’s Misdeeds, but Remain Divided on How",2019/06/03,us
https://www.nytimes.com/issue/todayspaper/2019/06/03/todays-new-york-times,/2019/05/31/business/nursing-homes-mortgage-hud.html,$146 Million Default by Nursing Home Chain Leaves U.S. on the Hook,2019/06/03,business
https://www.nytimes.com/issue/todayspaper/2019/06/03/todays-new-york-times,/2019/06/02/technology/slack-stewart-butterfield.html,"As Slack Prepares to Go Public, Its C.E.O. Is Holding His Tongue",2019/06/03,technology
https://www.nytimes.com/issue/todayspaper/2019/06/03/todays-new-york-times,/2019/06/02/nyregion/jennifer-dulos-missing-new-canaan.html,Estranged Husband Arrested in Disappearance of Connecticut Mother of 5,2019/06/03,nyregion
https://www.nytimes.com/issue/todayspaper/2019/06/03/todays-new-york-times,/2019/05/31/arts/television/david-letterman-netflix.html,"David Letterman 2.0, the Non-Ironic Version",2019/06/03,arts
https://www.nytimes.com/issue/todayspaper/2019/06/03/todays-new-york-times,/2019/06/02/arts/television/chernobyl-hbo.html,"Plenty of Fantasy in HBO’s ‘Chernobyl,’ but the Truth Is Real",2019/06/03,arts
https://www.nytimes.com/issue/todayspaper/2019/06/03/todays-new-york-times,/2019/06/02/sports/nba-finals-golden-state-warriors-toronto-raptors.html,N.B.A. Finals: Warriors Tie Series With Raptors,2019/06/03,sports
https://www.nytimes.com/issue/todayspaper/2019/06/03/todays-new-york-times,/2019/05/31/sports/basketball/brandon-armstrong-max-peranidze.html,It Takes Real Skills to Be a Fake Stephen Curry,2019/06/03,sports
https://www.nytimes.com/issue/todayspaper/2019/06/04/todays-new-york-times,/2019/06/03/technology/facebook-ftc-antitrust.html,Antitrust Troubles Snowball for Tech Giants as Lawmakers Join In,2019/06/04,technology
